dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1750-01-01,3.034,3.574,,,,,,
1750-02-01,3.083,3.702,,,,,,
1750-03-01,5.626,3.076,,,,,,
1750-04-01,8.49,2.451,,,,,,
1750-05-01,11.573,2.072,,,,,,
1750-06-01,12.937,1.724,,,,,,
1750-07-01,15.868,1.911,,,,,,
1750-08-01,14.75,2.231,,,,,,
1750-09-01,11.413,2.637,,,,,,
1750-10-01,6.367,2.668,,,,,,
1750-11-01,,,,,,,,
1750-12-01,2.772,2.97,,,,,,
